CHR	START	END	GENE_NAME
chr8	38297892	38314874	FGFR1
chr1	33276512	33276659	YARS
chr7	97911766	97921951	BRI3
chr17	73497860	73499336	CASKIN2
chr4	1808556	1808662	FGFR3
chr1	44365400	44386076	ST3GAL3
chr17	6919137	6919334	MIR497HG
chr8	38285954	38314874	FGFR1
chr1	203765625	203770703	ZC3H11A
chr17	41151950	41152120	RPL27
chrX	47436901	47464377	SYN1
chr19	47112382	47114040	CALM3
chr9	112778320	112898407	PALM2-AKAP2
chr10	123241692	123243212	FGFR2
chr16	57286078	57287546	ARL2BP
chr1	203766651	203769591	ZBED6
chr16	570726	572482	RAB11FIP3
chr4	1808843	1810600	FGFR3
chr14	20811230	20811571	RPPH1
chr4	1208131	1208262	CTBP1
chr8	38271670	38271808	FGFR1
chr11	57080008	57081364	TNKS1BP1
chr9	116037914	116038051	PRPF4
chr5	37516693	37605166	WDR70
chr8	38283764	38285439	FGFR1
chr1	44360150	44386076	ST3GAL3
chr17	33477243	33479912	UNC45B
chr4	41652626	41663437	LIMCH1
chr1	44364936	44386076	ST3GAL3
chr2	1643074	1643195	PXDN
chr5	86629155	86633791	RASA1
chr10	88836414	88854082	GLUD1
chr16	67575770	67577168	FAM65A
chr22	40343189	40351823	GRAP2
chr6	30691117	30693196	TUBB
chr3	160231970	160233240	KPNA4
chr6	42023269	42023368	TAF8
chr8	29025103	29033585	KIF13B
chr10	81373493	81375200	SFTPA1
chr2	131840231	131850787	FAM168B
chr8	38271542	38271670	FGFR1
chrX	100290673	100291963	TRMT2B
chr8	38287467	38314874	FGFR1
chr16	72122886	72123038	TXNL4B
chr4	120213493	120216674	USP53
chr8	38275388	38275510	FGFR1
chr17	6919093	6919195	RNASEK-C17orf49
chr4	151936014	151936625	LRBA
chr8	54870830	54871864	RGS20
chr3	113098399	113099746	WDR52
chr11	6632420	6632535	TAF10
chr1	36106943	36107446	PSMB2
chr8	38271436	38271542	FGFR1
chr6	106649965	106696025	ATG5
chr9	112887877	112898407	AKAP2
chr4	1806057	1806248	FGFR3
chr2	172549405	172563743	DYNC1I2
chr3	194877311	194947438	XXYLT1
chr1	44365400	44386166	ST3GAL3
chr16	1401694	1401874	TSR3
chr1	52823453	52823589	CC2D1B
chr5	39105354	39107568	FYB
chr8	38285439	38285612	FGFR1
chrX	108884564	108887416	ACSL4
chr11	62105047	62105439	ASRGL1
chr11	15170777	15197287	INSC
chr1	62393402	62393502	INADL
chr4	1808411	1808556	FGFR3
chr15	45003685	45003812	B2M
chr11	62105362	62105640	ASRGL1
chr1	9786967	9789173	PIK3CD
chr22	20778874	20780570	SCARF2
chr17	76136915	76139050	TMC8
chr20	35177480	35178227	MYL9
chr17	77019171	77040037	C1QTNF1
chr16	30732510	30732798	SRCAP
chr8	38275892	38277051	FGFR1
chr20	5170748	5178534	CDS2
chr8	38279460	38282027	FGFR1
chr11	128782106	128786304	KCNJ5
chr4	1208262	1209779	CTBP1
chr1	44360150	44395804	ST3GAL3
chr17	6918476	6919814	C17orf49
chr11	84996410	85309701	DLG2
chr15	45003812	45007621	B2M
chr8	38275510	38275746	FGFR1
chr1	44303984	44395804	ST3GAL3
chr2	230020681	230135730	PID1
chr16	1401600	1401694	TSR3
chr17	77016319	77023458	C1QTNF1-AS1
chr11	2398846	2411642	CD81
chr4	1807082	1807204	FGFR3
chr2	85889152	85889233	SFTPB
chr1	44364962	44395804	ST3GAL3
chr2	56411258	56412036	CCDC85A
chr9	139566716	139567131	EGFL7
chr11	131240784	131781458	NTM
chrX	47442807	47442936	TIMP1
chr8	38282027	38282218	FGFR1
chr6	20955817	21000458	CDKAL1
chr10	123357476	123357973	FGFR2
chr8	38283640	38283764	FGFR1
chr1	44365400	44395804	ST3GAL3
chr1	23724285	23724449	TCEA3
chr8	38271323	38271436	FGFR1
chr20	23026270	23030302	THBD
chr12	9092957	9094537	M6PR
chr4	184020776	184114752	WWC2
chr1	91851392	91859650	HFM1
chr4	1806697	1807082	FGFR3
chr8	38279315	38279460	FGFR1
chr4	1209779	1209994	CTBP1
chr19	48647221	48653020	LIG1
chr6	134214293	134216676	TCF21
chr3	49160880	49161065	LAMB2
chr13	115027424	115028354	CDC16
chr9	35657748	35658016	RMRP
chr6	3287093	3287326	SLC22A23
chrX	77369241	77369397	PGK1
chr3	57994127	57994584	FLNB
chr12	53925681	53926294	ATF7
chr8	38268656	38271323	FGFR1
chr3	100527080	100565216	ABI3BP
chr1	44364936	44395804	ST3GAL3
chr17	39846030	39846194	EIF1
chr4	1803753	1806551	FGFR3
chr8	38274824	38274935	FGFR1
chr8	38277051	38277254	FGFR1
chr2	172549405	172563797	DYNC1I2
chr12	6646267	6646383	GAPDH
chr21	47407434	47407524	COL6A1
chr20	44533499	44533581	PLTP
chr15	45007621	45007900	B2M
chr10	28908466	28912042	WAC
chr8	38274935	38275388	FGFR1
chr2	172549405	172563057	DYNC1I2
chr14	69343799	69343958	ACTN1
chr19	39898383	39900053	ZFP36
chr16	2811562	2818263	SRRM2
chr19	8503272	8503900	MARCH2
chr2	56419612	56420576	CCDC85A
chr11	64005828	64006737	VEGFB
chr4	1806551	1806697	FGFR3
chr8	70594579	70617266	SLCO5A1
chr1	36102034	36107018	PSMB2
chr10	123237844	123239536	FGFR2
chr1	160183212	160185163	PEA15
chr8	38277057	38277254	FGFR1
chr14	92592525	92597295	CPSF2
chr3	160232695	160233025	SCARNA7
chr8	38277254	38279315	FGFR1
chr2	132914720	133015102	ANKRD30BL
chr6	35428396	35430566	FANCE
chrX	120181462	120183797	GLUD2
chr10	123239185	123243212	FGFR2
chr2	10470337	10536961	HPCAL1
chr3	4459817	4461748	SUMF1
chr21	28208606	28210598	ADAMTS1
chr2	61575005	61575616	USP34
chr17	6919093	6919195	C17orf49
chr12	57906534	57906748	MARS
chr8	38275746	38275892	FGFR1
chr19	50002769	50002970	RPS11
chr11	71723941	71727307	NUMA1
chr10	52193317	52220433	SGMS1
chr4	129208528	129209985	PGRMC2
chr15	45009805	45010358	B2M
chr17	76121807	76121966	TMC6
chr1	29379616	29379825	EPB41
chr2	10443304	10536961	HPCAL1
chr17	77020158	77020577	C1QTNF1
chr10	123239536	123243212	FGFR2
chr9	140243562	140243735	EXD3
chr2	10444069	10536961	HPCAL1
chr9	112811136	112898407	AKAP2
chr7	97920423	97920840	BRI3
chr7	107398588	107402084	CBLL1
chr12	20523179	20709594	PDE3A
chr8	38314874	38315053	FGFR1
chr8	38275892	38277057	FGFR1
chr17	79532634	79534443	NPLOC4
chr2	230020681	230127399	PID1
